Average Salary,Job Position Level,Average of Years of Experience
154500,Executive,15.56
192650,Director,8.91
128461.62528216705,Mid-Senior level,6.48
90355.97826086957,Associate,3.85
89336.20689655172,Entry level,1.82
80166.66666666667,Internship,0.43
